TKR;Precio;Var. (%);Var. ($) ;Max.;Min.;Volumen
ATVI;74.11;-1.19;-0.89;75.00;73.83;7540754.00
ADBE;297.38;0.82;2.41;298.80;289.18;3465349.00
AMD;67.94;0.06;0.04;68.69;64.52;86982566.00
ABNB;111.76;0.86;0.95;112.34;107.84;4003595.00
ALGN;228.81;-0.48;-1.10;230.45;221.45;587749.00
GOOGL;101.43;-0.21;-0.21;101.93;98.80;22132744.00
GOOG;102.22;-0.19;-0.19;102.74;99.74;18448980.00
AMZN;120.95;-0.12;-0.14;121.75;117.69;48127685.00
AEP;87.70;-3.26;-2.96;89.64;87.39;3296817.00
AMGN;233.82;0.34;0.80;235.42;230.96;2060009.00
ADI;151.89;0.69;1.04;152.96;148.84;3052028.00
ANSS;233.84;0.27;0.63;235.49;227.77;666648.00
AAPL;146.40;0.21;0.30;147.38;143.01;79314156.00
AMAT;89.22;-0.21;-0.19;90.17;86.19;7607928.00
ASML;469.29;0.90;4.18;474.75;453.05;1193203.00
TEAM;217.33;3.20;6.74;219.81;210.01;647.00
ADSK;204.53;2.27;4.54;205.18;194.78;1995877.00
ADP;239.05;1.03;2.43;241.12;234.05;1659115.00
BIDU;123.26;-0.03;-0.04;125.23;120.90;1267881.00
BIIB;261.69;-2.15;-5.76;266.42;257.51;1573464.00
BKNG;1726.71;-1.84;-32.33;1745.00;1709.57;350333.00
AVGO;484.80;1.03;4.94;488.08;471.46;1846386.00
CDNS;169.70;-0.95;-1.63;170.78;167.72;2585544.00
CHTR;329.28;0.23;0.74;332.02;319.63;1838691.00
CTAS;411.94;0.22;0.92;415.28;406.13;586149.00
CSCO;41.99;0.41;0.17;42.25;41.40;14288529.00
CTSH;60.63;-0.05;-0.03;61.15;59.72;4690700.00
CMCSA;30.74;-0.81;-0.25;30.90;30.14;22331339.00
CPRT;112.79;-0.97;-1.10;113.87;111.50;1211837.00
COST;480.32;-1.20;-5.81;483.87;474.82;1584118.00
CRWD;176.70;0.93;1.63;178.34;170.35;2122805.00
CSX;27.82;-1.07;-0.30;28.06;27.42;16028672.00
DDOG;95.11;-0.25;-0.24;96.15;90.67;3488231.00
DXCM;91.08;0.12;0.11;92.13;89.31;2333595.00
DOCU;53.89;-3.56;-1.99;54.56;51.91;4270971.00
DLTR;142.76;0.43;0.61;143.46;140.35;1240076.00
EBAY;39.12;1.16;0.45;39.49;38.18;7289545.00
EA;122.67;-0.43;-0.53;123.74;121.28;1704894.00
EXC;38.70;-3.27;-1.31;39.36;38.16;9915333.00
FAST;48.13;-0.54;-0.26;48.60;47.75;3502972.00
FISV;1.55;1.84;1.82;101.03;97.78;2967310.00
FTNT;53.59;1.73;0.91;53.85;51.69;3367388.00
GILD;65.45;0.21;0.14;65.96;64.38;5801998.00
HON;177.81;-0.21;-0.38;179.77;175.01;2939712.00
IDXX;350.12;0.44;1.53;352.20;339.84;430621.00
ILMN;218.52;6.56;13.46;219.89;2.30;2805711.00
INTC;27.64;-0.22;-0.06;27.84;26.89;30079942.00
INTU;413.58;0.38;1.57;417.44;4.79;1200780.00
ISRG;201.38;-0.08;-0.16;202.58;196.36;1647299.00
JD;52.98;1.81;0.94;54.38;52.41;9162266.00
KDP;37.44;0.48;0.18;37.68;36.84;5555434.00
KLAC;329.05;0.54;1.76;333.12;316.36;1348813.00
LRCX;399.91;-0.18;-0.72;404.71;385.01;1406562.00
LCID;14.99;-2.66;-0.41;15.17;14.51;11596995.00
LULU;310.05;0.73;2.25;311.55;301.67;1259025.00
MAR;147.18;-0.26;-0.38;148.21;144.82;1488968.00
MRVL;48.36;2.81;1.32;49.08;45.57;15165086.00
MTCH;51.04;-0.80;-0.41;51.48;49.58;2071647.00
MELI;933.76;-1.53;-14.49;944.30;910.05;473745.00
META;138.98;-0.93;-1.30;140.21;134.78;27926784.00
MCHP;67.39;1.03;0.69;67.92;65.15;3603145.00
MU;54.73;1.43;0.77;55.20;52.17;20400538.00
MSFT;249.20;0.13;0.32;250.58;244.10;20300166.00
MRNA;125.62;-0.04;-0.05;126.74;121.61;2275221.00
MDLZ;57.24;-0.50;-0.29;57.64;56.51;4900501.00
MNST;92.18;0.58;0.53;92.61;90.55;2135082.00
NTES;80.11;0.24;0.19;81.78;79.29;787738.00
NFLX;236.73;-1.67;-4.01;241.59;227.38;10813947.00
NVDA;132.09;0.32;0.42;133.21;126.21;50597319.00
NXPI;161.24;0.84;1.35;162.35;155.13;1904084.00
ORLY;732.09;0.33;2.38;738.92;725.05;349157.00
OKTA;59.49;-0.47;-0.28;59.99;57.12;2034446.00
PCAR;90.91;1.11;1.00;91.62;88.63;2309632.00
PANW;175.65;1.04;1.81;176.57;170.50;2212075.00
PAYX;114.59;-0.69;-0.80;115.87;112.60;2169803.00
PYPL;93.83;1.12;1.04;94.61;90.99;9794786.00
PTON;8.49;-4.18;-0.37;8.84;8.09;16005118.00
PEP;166.00;-0.66;-1.11;167.09;163.73;3538392.00
PDD;66.17;-0.45;-0.30;68.12;65.35;6323847.00
QCOM;124.89;2.06;2.52;125.56;120.53;7061260.00
REGN;745.68;0.83;6.14;749.00;728.13;569600.00
ROST;89.82;0.49;0.44;90.41;87.98;1767668.00
SGEN;136.87;-1.65;-2.30;138.24;134.73;909227.00
SIRI;5.97;0.00;0.00;6.00;5.85;11171557.00
SWKS;93.34;1.26;1.16;94.05;90.18;1538061.00
SPLK;83.31;1.73;1.42;83.36;79.03;1925182.00
SBUX;90.12;1.82;1.61;90.64;87.55;7977593.00
SNPS;321.37;-0.10;-0.33;323.87;315.96;1094297.00
TMUS;141.23;-0.92;-1.31;141.89;138.00;4452561.00
TSLA;240.81;-3.46;-8.63;246.60;233.27;86763004.00
TXN;167.80;1.60;2.65;169.23;163.47;5262159.00
KHC;33.89;-1.28;-0.44;34.14;33.17;6307120.00
VRSN;183.87;0.22;0.41;185.14;180.20;797651.00
VRSK;179.93;0.13;0.24;181.12;177.72;947348.00
VRTX;302.02;0.46;1.38;304.26;296.80;1296408.00
WBA;33.16;-0.69;-0.23;33.38;32.70;5304629.00
WDAY;159.45;0.28;0.45;160.52;155.48;1257768.00
XEL;64.33;-3.22;-2.14;65.74;63.79;3000091.00
ZM;77.52;-0.03;-0.02;77.87;74.96;2602009.00
ZS;180.15;2.36;4.15;181.94;171.61;1552064.00
